t_rel_s,d2
12.4848,0
12.5058,0
12.5246,0
12.5485,0
12.5645,0
12.5741,0
12.6046,0
12.6150,0
12.6443,0
12.6548,0
12.6847,0
12.7047,0
12.7144,0
12.7348,0
12.7542,0
12.7848,0
12.7941,0
12.8287,0
12.8349,0
12.8686,0
12.8847,0
12.9085,0
12.9247,0
12.9348,0
12.9643,0
12.9749,0
13.0059,0
13.0247,0
13.0443,0
13.0564,0
13.0743,0
13.1045,0
13.1141,0
13.1444,0
13.1549,0
13.1846,0
13.1948,0
13.2287,0
13.2350,0
13.2684,0
13.2847,0
13.2942,0
13.3289,0
13.3336,0
13.3643,0
13.3845,0
13.4057,0
13.4245,0
13.4487,0
13.4644,0
13.4750,0
13.5045,0
13.5149,0
13.5444,0
13.5547,0
13.5846,0
13.6046,0
13.6142,0
13.6348,0
13.6542,0
13.6847,0
13.6949,0
13.7287,0
13.7348,0
13.7686,0
13.7848,0
13.8086,0
13.8246,0
13.8342,0
13.8642,0
13.8747,0
13.9058,0
13.9241,0
13.9442,0
13.9564,0
13.9742,0
14.0046,0
14.0141,0
14.0443,0
14.0548,0
14.0848,0
14.0947,0
14.1246,0
14.1485,0
14.1644,0
14.1748,0
14.2044,0
14.2147,0
14.2442,0
14.2565,0
14.2748,0
14.3045,0
14.3142,0
14.3443,0
14.3542,0
14.3847,0
14.3949,0
14.4289,0
14.4347,0
14.4686,0
14.4862,0
14.4944,0
14.5244,0
14.5342,0
14.5644,0
14.5847,0
14.6058,0
14.6245,0
14.6486,0
14.6563,0
14.6741,0
14.7045,0
14.7148,0
14.7442,0
14.7547,0
14.7846,0
14.8046,0
14.8116,0
14.8347,0
14.8542,0
14.8847,0
14.8941,0
14.9288,0
14.9348,0
14.9642,0
14.9845,0
15.0086,0
15.0245,0
15.0343,0
15.0642,0
15.0747,0
15.1059,0
15.1146,0
15.1442,0
15.1564,0
15.1742,0
15.2044,0
15.2142,0
15.2441,0
15.2548,0
15.2845,0
15.2947,0
15.3290,0
15.3348,0
15.3686,0
15.3847,0
15.3942,0
15.4243,0
15.4341,0
15.4642,0
15.4846,0
15.5058,0
15.5244,0
15.5487,0
15.5643,0
15.5742,0
15.6044,0
15.6148,0
15.6443,0
15.6546,0
15.6845,2
15.7045,3
15.7143,3
15.7346,5
15.7542,6
15.7846,6
15.7948,6
15.8288,6
15.8347,6
15.8687,6
15.8844,6
15.9086,8
15.9245,9
15.9343,11
15.9641,11
15.9746,12
16.0059,12
16.0245,12
16.0441,12
16.0564,12
16.0742,12
16.0961,14
16.1289,15
16.1348,15
16.1641,17
16.1845,17
16.2087,17
16.2245,19
16.2486,19
16.2643,20
16.2750,20
16.3043,22
16.3146,22
16.3442,25
16.3560,25
16.3738,25
16.4044,25
16.4142,25
16.4442,25
16.4541,26
16.4845,26
16.4947,26
16.5290,28
16.5345,28
16.5687,29
16.5845,29
16.5943,31
16.6243,31
16.6342,31
16.6642,32
16.6846,34
16.7058,34
16.7244,34
